transaction_id,user_id,timestamp,amount_gbp,city,device,status,anomaly_type,is_anomaly
T000000020,U000000,2025-08-13 09:44:57.429317923,9.9,Manchester,mobile,success,,0
T000000002,U000000,2025-08-20 01:06:43.355742107,18.92,Manchester,mobile,success,,0
T000000009,U000000,2025-08-26 23:24:25.410285889,126.9,Manchester,mobile,success,,0
T000000015,U000000,2025-09-14 14:36:20.058742954,146.76,Manchester,mobile,success,,0
T000000003,U000000,2025-09-26 08:16:59.151200172,162.87,Manchester,mobile,success,,0
T000000004,U000000,2025-10-01 23:18:34.011564774,58.74,Manchester,mobile,success,,0
T000000011,U000000,2025-10-29 04:07:56.976780588,122.99,Manchester,mobile,success,,0
T000000018,U000000,2025-10-31 11:06:22.980621852,128.6,Manchester,mobile,success,,0
T000000006,U000000,2025-11-01 16:43:12.633278050,109.79,Manchester,mobile,success,,0
T000000005,U000000,2025-12-04 16:24:30.137093824,95.55,Manchester,mobile,success,burst_velocity,1
T000040451,U000000,2025-12-04 16:25:42.137093824,25.03,Manchester,mobile,success,burst_velocity,1
T000040450,U000000,2025-12-04 16:30:07.137093824,17.32,Manchester,mobile,success,burst_velocity,1
T000040452,U000000,2025-12-04 16:33:34.137093824,33.17,Manchester,mobile,success,burst_velocity,1
T000000021,U000000,2025-12-13 03:10:24.543679400,76.73,Manchester,mobile,success,,0
T000000017,U000000,2025-12-13 22:25:49.101382382,164.74,Manchester,mobile,success,,0
T000000016,U000000,2025-12-16 05:53:14.724668520,141.49,Manchester,mobile,success,,0
T000000007,U000000,2025-12-18 22:52:31.429022442,122.82,Manchester,mobile,success,,0
T000000013,U000000,2025-12-21 13:53:59.822020970,94.19,Manchester,tablet,success,,0
T000000001,U000000,2026-01-10 04:30:56.380933516,177.34,London,mobile,success,,0
T000000019,U000000,2026-01-23 09:53:15.707036940,176.92,Manchester,mobile,success,,0
T000000012,U000000,2026-02-12 07:12:29.155368534,101.85,Manchester,mobile,success,,0
T000000008,U000000,2026-02-12 19:51:07.932205164,96.48,Manchester,mobile,success,,0
T000000010,U000000,2026-02-12 22:25:47.876410240,152.42,Manchester,mobile,success,,0
T000000014,U000000,2026-02-14 01:47:17.202316124,236.9,Manchester,mobile,success,,0
T000000035,U000001,2025-01-24 12:14:16.374114601,82.56,Birmingham,mobile,success,,0
T000000037,U000001,2025-02-11 03:15:20.919293193,99.42,Birmingham,mobile,success,,0
T000000028,U000001,2025-02-16 09:39:20.982249996,158.2,Birmingham,mobile,success,,0
T000000041,U000001,2025-02-18 09:07:04.732383447,93.82,Birmingham,mobile,success,,0
T000000027,U000001,2025-03-03 16:02:55.836527812,196.39,Birmingham,mobile,success,,0
T000000029,U000001,2025-03-19 21:36:01.081963400,122.04,Birmingham,mobile,success,,0
T000000032,U000001,2025-03-22 19:58:12.960467791,124.47,Birmingham,mobile,success,,0
T000000033,U000001,2025-03-27 07:00:54.220557928,137.74,Birmingham,mobile,success,,0
T000000042,U000001,2025-04-12 20:26:49.318946134,69.96,Birmingham,mobile,success,,0
