user_id,home_city,preferred_device,account_age_days,signup_date,ip_risk_band,baseline_tx_mean_gbp,baseline_tx_std_gbp,is_night_owl
U000000,Manchester,mobile,212,2025-07-19,low,124.88,39.53,1
U000001,Birmingham,mobile,409,2025-01-03,low,137.03,29.35,1
U000002,Leicester,desktop,356,2025-02-25,low,25.25,9.56,0
U000003,Glasgow,mobile,41,2026-01-06,low,126.24,26.02,0
U000004,London,mobile,40,2026-01-07,low,47.19,16.5,0
U000005,London,desktop,78,2025-11-30,medium,118.08,41.53,0
U000006,London,mobile,111,2025-10-28,low,70.98,27.73,1
U000007,Birmingham,desktop,131,2025-10-08,low,74.88,15.79,0
U000008,Glasgow,mobile,284,2025-05-08,low,66.57,21.26,0
U000009,Edinburgh,mobile,14,2026-02-02,low,143.55,40.99,0
U000010,London,mobile,8,2026-02-08,medium,37.27,9.92,0
U000011,Cambridge,mobile,124,2025-10-15,low,102.96,22.45,0
U000012,Birmingham,desktop,298,2025-04-24,medium,135.06,42.21,0
U000013,London,mobile,53,2025-12-25,low,109.29,32.33,1
U000014,London,mobile,256,2025-06-05,low,264.7,58.47,1
U000015,London,mobile,75,2025-12-03,low,55.1,17.77,0
U000016,London,mobile,543,2024-08-22,low,124.78,43.37,0
U000017,Bristol,desktop,565,2024-07-31,low,69.52,24.57,0
U000018,Leeds,mobile,88,2025-11-20,low,145.24,55.35,0
U000019,London,mobile,65,2025-12-13,low,73.39,20.69,1
U000020,Glasgow,tablet,132,2025-10-07,low,59.54,23.26,0
U000021,London,mobile,68,2025-12-10,low,151.16,56.4,0
U000022,London,desktop,278,2025-05-14,low,56.24,14.58,0
U000023,Manchester,mobile,437,2024-12-06,low,33.89,7.86,0
U000024,Leeds,mobile,279,2025-05-13,low,55.46,15.92,0
U000025,Liverpool,mobile,434,2024-12-09,low,103.59,29.05,0
U000026,London,desktop,126,2025-10-13,low,158.48,49.94,0
U000027,Leeds,tablet,42,2026-01-05,low,78.34,24.81,0
U000028,Glasgow,mobile,334,2025-03-19,low,152.17,53.26,0
U000029,London,mobile,111,2025-10-28,low,34.92,10.54,0
U000030,Glasgow,mobile,278,2025-05-14,low,57.75,12.76,0
U000031,London,mobile,78,2025-11-30,low,62.88,23.37,0
U000032,London,mobile,21,2026-01-26,low,69.2,18.13,0
U000033,Birmingham,tablet,1225,2022-10-10,low,77.19,30.43,0
U000034,Cambridge,mobile,42,2026-01-05,low,107.77,24.09,0
U000035,Liverpool,mobile,1114,2023-01-29,low,57.71,22.6,0
U000036,London,mobile,946,2023-07-16,low,79.56,17.36,0
U000037,London,mobile,394,2025-01-18,low,71.89,17.7,0
U000038,Edinburgh,mobile,269,2025-05-23,low,44.29,9.27,0
U000039,Leeds,mobile,215,2025-07-16,low,69.23,23.61,0
U000040,London,desktop,502,2024-10-02,low,68.1,25.2,0
U000041,Leeds,mobile,85,2025-11-23,low,67.3,19.3,1
U000042,London,mobile,157,2025-09-12,low,75.0,28.93,0
U000043,Birmingham,mobile,241,2025-06-20,low,76.83,24.44,0
U000044,London,desktop,132,2025-10-07,low,58.1,18.94,0
U000045,Edinburgh,desktop,139,2025-09-30,low,148.41,54.78,0
U000046,London,mobile,100,2025-11-08,low,38.74,10.05,1
U000047,Bristol,desktop,207,2025-07-24,low,49.57,13.43,0
U000048,Bristol,mobile,475,2024-10-29,low,340.01,129.61,0
U000049,London,mobile,56,2025-12-22,medium,41.64,15.83,0
U000050,Cambridge,mobile,681,2024-04-06,low,35.0,13.84,1
U000051,Liverpool,mobile,292,2025-04-30,medium,110.38,41.99,0
U000052,Birmingham,mobile,433,2024-12-10,low,23.51,5.3,0
U000053,Birmingham,desktop,203,2025-07-28,low,64.75,23.62,1
U000054,Glasgow,desktop,377,2025-02-04,low,239.9,67.64,0
U000055,Birmingham,mobile,4,2026-02-12,low,31.51,12.55,0
U000056,London,mobile,426,2024-12-17,low,24.78,7.3,0
U000057,London,mobile,10,2026-02-06,low,32.31,10.04,0
U000058,London,mobile,551,2024-08-14,low,120.8,36.96,0
U000059,London,mobile,1205,2022-10-30,low,136.81,36.17,0
U000060,Manchester,mobile,87,2025-11-21,low,55.59,11.95,0
U000061,London,mobile,59,2025-12-19,low,107.31,40.69,0
U000062,Birmingham,desktop,362,2025-02-19,low,158.32,57.08,0
U000063,Manchester,mobile,72,2025-12-06,low,196.97,44.89,0
U000064,London,mobile,501,2024-10-03,low,64.36,22.87,0
U000065,Bristol,desktop,27,2026-01-20,low,20.78,6.76,0
U000066,London,mobile,33,2026-01-14,low,46.92,13.22,0
U000067,Liverpool,mobile,967,2023-06-25,low,58.28,14.62,0
U000068,London,mobile,280,2025-05-12,low,63.92,23.77,1
U000069,Norwich,mobile,469,2024-11-04,low,66.47,22.6,1
U000070,Liverpool,desktop,98,2025-11-10,medium,136.37,42.21,0
U000071,London,mobile,282,2025-05-10,low,148.55,47.82,0
U000072,London,mobile,225,2025-07-06,low,67.06,14.63,0
U000073,Birmingham,desktop,231,2025-06-30,low,134.85,39.75,0
U000074,Edinburgh,desktop,286,2025-05-06,low,89.72,21.42,0
U000075,Leicester,desktop,214,2025-07-17,low,76.36,18.45,0
U000076,Liverpool,mobile,140,2025-09-29,low,121.34,40.32,0
U000077,London,mobile,80,2025-11-28,low,76.69,29.31,0
U000078,Manchester,tablet,365,2025-02-16,low,228.56,64.17,0
U000079,London,desktop,64,2025-12-14,low,33.41,8.07,0
U000080,Birmingham,mobile,294,2025-04-28,low,55.52,18.31,0
U000081,Glasgow,mobile,66,2025-12-12,medium,68.75,25.73,0
U000082,London,mobile,245,2025-06-16,low,93.85,32.82,0
U000083,London,desktop,343,2025-03-10,low,148.02,55.32,0
U000084,London,mobile,61,2025-12-17,low,72.72,22.35,0
U000085,London,mobile,15,2026-02-01,low,33.71,11.81,1
